Node,X,Y,Z,Magnitude,Theta,Radius,Alpha
68.0,-6.314021590000001,13.6063633,-1.21977177966609e-15,0.0,24.893618206200472,14.99999969635243,
69.0,-5.391116620000001,13.9977093,-1.1872231801076618e-15,0.0,21.06382970055779,15.000000135258224,
70.0,-4.444133760000001,14.3265371,-1.1493720993273748e-15,0.0,17.23404312888215,14.999999671814935,
71.0,-3.4773023100000007,14.5913801,-1.1063877039108293e-15,0.0,13.40425540008897,15.000000152593577,
72.0,-2.4949402800000007,14.7910538,-1.0584618660076048e-15,0.0,9.574467945423862,14.99999998384203,
73.0,-1.501435400000001,14.9246674,-1.0058087108242688e-15,0.0,5.7446808821025,15.00000017536653,
74.0,-0.5012246370000009,14.9916239,-9.486633685255903e-16,0.0,1.9148934911891047,15.000000443192894,
75.0,0.5012246369999991,14.9916239,-8.872810537900058e-16,0.0,358.0851065088109,15.000000443192894,
76.0,1.5014353999999992,14.9246674,-8.219359051506163e-16,0.0,354.25531911789756,15.00000017536653,
77.0,2.494940279999999,14.7910538,-7.529198032110247e-16,0.0,350.42553205457614,14.99999998384203,
78.0,3.477302309999999,14.5913801,-6.805409895499095e-16,0.0,346.59574459991103,15.000000152593577,
79.0,4.444133759999999,14.3265371,-6.051226809107056e-16,0.0,342.76595687111785,14.999999671814935,
80.0,5.391116619999999,13.9977093,-5.27001808856352e-16,0.0,338.93617029944227,15.000000135258224,
81.0,6.314021589999999,13.6063633,-4.465271466720118e-16,0.0,335.1063817937995,14.99999969635243,
82.0,7.208726409999999,13.1542492,-3.6405827270155713e-16,0.0,331.27659597763784,15.000000282331067,
83.0,8.07123566,12.643384,-2.7996334149039423e-16,0.0,327.44680719692434,15.000000135023718,
84.0,8.8976965,12.0760508,-1.9461807100256135e-16,0.0,323.6170202716843,15.00000019767643,
85.0,9.68441772,11.4547825,-1.0840357805751034e-16,0.0,319.78723309292707,14.999999623258537,
86.0,10.427886,10.7823553,-2.170498468205012e-17,0.0,315.95744805938625,14.999999741481135,
87.0,11.1247816,10.0617714,6.50906019445494e-17,0.0,312.12766080420585,15.000000311785213,
88.0,11.7719908,9.29624844,1.5159549783437571e-16,0.0,308.29787260768626,15.0000000817829,
89.0,12.3666239,8.48920631,2.374233520275573e-16,0.0,304.46808370605595,15.000000348593163,
90.0,12.906024,7.644249440000001,3.2219076863694866e-16,0.0,300.6382966131462,15.00000016631721,
91.0,13.3877821,6.765151980000001,4.055191389197427e-16,0.0,296.80851204641647,14.99999969565261,
92.0,13.8097486,5.855839250000001,4.870364813092852e-16,0.0,292.97872338807423,15.000000323901414,
93.0,14.1700363,4.920372960000001,5.663785301260808e-16,0.0,289.14893659651756,14.999999960293895,
94.0,14.4670372,3.9629309200000007,6.431910066852806e-16,0.0,285.3191489677556,14.999999560762523,
95.0,14.6994257,2.9877898700000007,7.1713086659944785e-16,0.0,281.4893619572127,15.000000140569837,
96.0,14.8661623,1.9993042900000009,7.87867823851499e-16,0.0,277.65957432572736,14.999999972465123,
97.0,14.9665031,1.001889470000001,8.550859691654501e-16,0.0,273.82978711640965,14.999999918413549,
98.0,15.0,9.797174393178826e-16,1.0000000000000009,0.0,270.0,15.0,
99.0,15.0,1.0409497792752503e-15,2.000000000000001,0.0,270.0,15.0,
100.0,15.0,1.102182119232618e-15,3.000000000000001,0.0,270.0,15.0,
101.0,15.0,1.1634144591899857e-15,4.000000000000001,0.0,270.0,15.0,
102.0,15.0,1.2246467991473533e-15,5.000000000000001,0.0,270.0,15.0,
103.0,15.0,1.285879139104721e-15,6.000000000000001,0.0,270.0,15.0,
104.0,15.0,1.3471114790620886e-15,7.000000000000001,0.0,270.0,15.0,
105.0,15.0,1.4083438190194562e-15,8.000000000000002,0.0,270.0,15.0,
106.0,15.0,1.469576158976824e-15,9.000000000000002,0.0,270.0,15.0,
107.0,15.0,1.5308084989341917e-15,10.000000000000002,0.0,270.0,15.0,
108.0,15.0,1.5920408388915593e-15,11.000000000000002,0.0,270.0,15.0,
109.0,15.0,1.6532731788489269e-15,12.000000000000002,0.0,270.0,15.0,
110.0,15.0,1.7145055188062944e-15,13.000000000000002,0.0,270.0,15.0,
111.0,15.0,1.7757378587636622e-15,14.000000000000002,0.0,270.0,15.0,
112.0,15.000000000000002,1.83697019872103e-15,15.000000000000002,0.0,270.0,15.000000000000002,
113.0,15.000000000000002,1.8982025386783976e-15,16.0,0.0,270.0,15.000000000000002,
114.0,15.000000000000002,1.959434878635765e-15,17.0,0.0,270.0,15.000000000000002,
115.0,15.000000000000002,2.020667218593133e-15,18.0,0.0,270.0,15.000000000000002,
116.0,15.000000000000002,2.0818995585505007e-15,19.0,0.0,270.0,15.000000000000002,
117.0,15.000000000000002,2.1431318985078682e-15,20.0,0.0,270.0,15.000000000000002,
118.0,15.000000000000002,2.204364238465236e-15,21.0,0.0,270.0,15.000000000000002,
119.0,15.000000000000002,2.2655965784226034e-15,22.0,0.0,270.0,15.000000000000002,
120.0,15.000000000000002,2.326828918379971e-15,23.0,0.0,270.0,15.000000000000002,
121.0,15.000000000000002,2.3880612583373385e-15,24.0,0.0,270.0,15.000000000000002,
122.0,15.500000000000002,2.357445088358655e-15,25.0,0.5,270.0,15.000000000000002,
123.0,15.554101746844985,2.4087390986507244e-15,26.0,0.5541017468449833,270.0,15.000000000000002,
124.0,15.550917559292587,2.4705563643721814e-15,27.0,0.5509175592925853,270.0,15.000000000000002,
125.0,15.566731337038123,2.5288837604847743e-15,28.0,0.5667313370381213,270.0,15.000000000000002,
126.0,15.539173858534758,2.5951783271183996e-15,29.0,0.5391738585347566,270.0,15.000000000000002,
127.0,15.723034376867815,-1.0525332787076918,30.0,0.7582244840676567,266.17021288359035,14.99999991841355,
128.0,15.646567707345422,-2.1042586048634164,30.0,0.7874312719357939,262.3404256742727,14.999999972465124,
129.0,15.435403584549077,-3.1373839638699192,30.0,0.7510271895651273,258.5106380427874,15.000000140569838,
130.0,15.16090838226322,-4.153001874036658,30.0,0.719433238837184,254.6808510322444,14.999999560762523,
131.0,14.771167392261873,-5.129108428926113,30.0,0.6363403853848635,250.85106340348244,14.999999960293895,
132.0,14.31318944673268,-6.069316609779773,30.0,0.5468320302409689,247.0212766119258,15.000000323901416,
133.0,13.99462898078288,-7.071805565068812,30.0,0.6799261415414652,243.19148795358356,14.99999969565261,
134.0,13.596528378931175,-8.053235794896143,30.0,0.8025373111665043,239.36170338685378,15.00000016631721,
135.0,13.043849878638417,-8.954095603767001,30.0,0.821435987525469,235.5319162939441,15.000000348593163,
136.0,12.404438453218043,-9.795687371740403,30.0,0.805871751954991,231.7021273923138,15.000000081782902,
137.0,11.696551781804086,-10.578907022927565,30.0,0.7709412385525622,227.87233919579415,15.000000311785215,
138.0,10.945198879763542,-11.3172529073268,30.0,0.7441290653463163,224.04255194061378,14.999999741481135,
139.0,10.121963125791833,-11.972313610504354,30.0,0.6777052696190353,220.21276690707296,14.999999623258539,
140.0,9.264914598502264,-12.57444321113615,30.0,0.619067142841327,216.38297972831572,15.000000197676428,
141.0,8.357544364441587,-13.09187925466556,30.0,0.5320908453417955,212.5531928030757,15.000000135023718,
142.0,7.450623843565906,-13.595655759354544,30.0,0.5033429437341782,208.7234040223622,15.000000282331069,
143.0,6.543388677236059,-14.100636541469319,30.0,0.5448993466134293,204.89361820620047,14.999999696352429,
144.0,5.580801458574756,-14.490214548196024,30.0,0.5277705538259582,201.06382970055776,15.000000135258222,
145.0,4.630279216996579,-14.926613501763816,30.0,0.628284823240443,197.23404312888215,14.999999671814933,
146.0,3.6421876448283186,-15.283268345228734,30.0,0.7112640280002522,193.404255400089,15.000000152593577,
147.0,2.618607676937972,-15.524206066640808,30.0,0.7435091600955368,189.57446794542386,14.999999983842029,
148.0,1.5635244743082346,-15.541849320197327,30.0,0.6202971673052483,185.7446808821025,15.000000175366528,
149.0,0.5187499850646281,-15.51580688604395,30.0,0.5244758723551926,181.91489349118908,15.000000443192892,
150.0,-0.5190991444211526,-15.52625023891981,30.0,0.5349250604358974,178.08510650881095,15.000000443192892,
151.0,-1.5560743110274133,-15.467792714737067,30.0,0.5458667585652209,174.25531911789753,15.000000175366528,
152.0,-2.5865075670247104,-15.333903133733378,30.0,0.5505179081445404,170.42553205457614,14.999999983842029,
153.0,-3.6016404065332144,-15.11312490838471,30.0,0.5363558588529663,166.59574459991103,15.000000152593575,
154.0,-4.596150271806538,-14.816592150955303,30.0,0.5130915832759639,162.76595687111785,14.999999671814932,
155.0,-5.5830545205472415,-14.496064487781604,30.0,0.5340393720085842,158.93617029944227,15.00000013525822,
156.0,-6.54949405430879,-14.113793287506851,30.0,0.5594036768460334,155.10638179379953,14.999999696352427,
157.0,-7.470825100439837,-13.632518355041952,30.0,0.5453779498612171,151.27659597763784,15.000000282331067,
158.0,-8.345697574286362,-13.073321561220654,30.0,0.5100741602376093,147.44680719692434,15.000000135023717,
159.0,-9.203532040261502,-12.491134133157447,30.0,0.5155866087789149,143.61702027168428,15.000000197676426,
160.0,-10.028400765113537,-11.861647536121474,30.0,0.5327884129217813,139.78723309292704,14.999999623258535,
161.0,-10.804888522642383,-11.172173058664264,30.0,0.5422995362793068,135.95744805938622,14.999999741481133,
162.0,-11.551719337527526,-10.44791380454259,30.0,0.5756577006442797,132.12766080420582,15.000000311785211,
163.0,-12.94918987358168,-10.225873278931502,30.0,1.5,128.2978726076862,15.000000081782899,
164.0,-13.603286261260529,-9.33812692127147,30.0,1.5,124.46808370605592,15.000000348593161,
