Node,X,Y,Z,Imperfection
286.0,14.467037200000002,3.9629309200000025,27.0,0.0
287.0,14.170036300000001,4.920372960000003,27.0,0.0
288.0,13.809748600000002,5.8558392500000025,27.0,0.0
289.0,13.387782100000003,6.765151980000002,27.0,0.0
290.0,12.906024000000002,7.644249440000003,27.0,0.0
291.0,12.366623900000002,8.489206310000002,27.0,0.0
292.0,11.771990800000001,9.296248440000001,27.0,0.0
293.0,11.124781600000002,10.061771400000001,27.0,0.0
294.0,10.427886000000003,10.782355300000003,27.0,0.0
295.0,9.684417720000003,11.454782500000002,27.0,0.0
296.0,8.897696500000002,12.076050800000003,27.0,0.0
297.0,8.071235660000001,12.643384000000001,27.0,0.0
298.0,7.208726410000001,13.154249200000002,27.0,0.0
299.0,6.314021590000001,13.606363300000002,27.0,0.0
300.0,5.391116620000001,13.997709300000002,27.0,0.0
301.0,4.444133760000001,14.326537100000001,27.0,0.0
302.0,3.4773023100000007,14.591380100000002,27.0,0.0
303.0,2.4949402800000007,14.791053800000002,27.0,0.0
304.0,1.5014354000000008,14.924667400000002,27.0,0.0
305.0,0.5012246370000008,14.991623900000002,27.0,0.0
306.0,-0.5012246369999992,14.991623900000002,27.0,0.0
307.0,-1.5014353999999994,14.924667400000002,27.0,0.0
308.0,-2.494940279999999,14.791053800000002,27.0,0.0
309.0,-3.477302309999999,14.591380100000002,27.0,0.0
310.0,-4.444133759999999,14.326537100000001,27.0,0.0
311.0,-5.391116619999999,13.997709300000002,27.0,0.0
312.0,-6.314021589999999,13.606363300000002,27.0,0.0
313.0,-7.208726409999999,13.154249200000002,27.0,0.0
314.0,-8.071235659999997,12.643384000000001,27.0,0.0
315.0,-8.897696499999999,12.076050800000003,27.0,0.0
316.0,-9.684417719999999,11.454782500000002,27.0,0.0
317.0,-10.427885999999999,10.782355300000003,27.0,0.0
318.0,-11.124781599999999,10.061771400000001,27.0,0.0
319.0,-11.771990799999998,9.296248440000001,27.0,0.0
320.0,-12.366623899999999,8.489206310000002,27.0,0.0
321.0,-12.906023999999999,7.644249440000001,27.0,0.0
322.0,-13.387782099999999,6.765151980000001,27.0,0.0
323.0,-13.809748599999999,5.855839250000001,27.0,0.0
324.0,-14.170036299999998,4.920372960000001,27.0,0.0
325.0,-14.467037199999998,3.9629309200000007,27.0,0.0
326.0,-14.699425699999999,2.9877898700000007,27.0,0.0
327.0,-14.866162299999997,1.9993042900000007,27.0,0.0
328.0,-14.966503099999999,1.0018894700000007,27.0,0.0
329.0,-14.999999999999998,7.347880794884119e-16,27.0,0.0
330.0,-14.966503099999999,-1.0018894699999994,27.0,0.0
331.0,-14.866162299999997,-1.9993042899999993,27.0,0.0
332.0,-14.699425699999999,-2.987789869999999,27.0,0.0
333.0,-14.467037199999998,-3.962930919999999,27.0,0.0
334.0,-14.170036299999998,-4.920372959999999,27.0,0.0
335.0,-13.809748599999999,-5.855839249999999,27.0,0.0
